<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,5,240115,113000,163.7200000,163.7700000,163.6300000,163.6400000,46330
GAZP,5,240115,113500,163.6400000,163.6700000,163.6100000,163.6600000,135590
GAZP,5,240115,114000,163.6600000,163.6700000,163.6300000,163.6600000,43200
GAZP,5,240115,114500,163.6600000,163.7600000,163.6100000,163.7300000,90980
GAZP,5,240115,115000,163.7000000,163.7900000,163.7000000,163.7900000,104560
GAZP,5,240115,115500,163.7900000,163.7900000,163.7100000,163.7200000,38870
GAZP,5,240115,120000,163.7200000,163.7500000,163.6200000,163.7000000,135750
GAZP,5,240115,120500,163.7000000,163.7200000,163.6200000,163.6900000,50260
GAZP,5,240115,121000,163.7000000,163.7000000,163.6500000,163.6500000,24450
GAZP,5,240115,121500,163.6600000,163.6600000,163.6100000,163.6100000,70710
GAZP,5,240115,122000,163.6200000,163.7500000,163.6100000,163.6900000,99430
GAZP,5,240115,122500,163.7000000,163.8400000,163.6900000,163.8100000,55840
GAZP,5,240115,123000,163.8100000,163.9200000,163.7900000,163.8500000,105320
GAZP,5,240115,123500,163.8600000,163.9700000,163.8500000,163.9600000,108610
GAZP,5,240115,124000,163.9700000,163.9700000,163.8500000,163.9200000,56610
GAZP,5,240115,124500,163.9200000,163.9400000,163.7900000,163.8400000,53970
GAZP,5,240115,125000,163.8300000,163.8400000,163.7900000,163.8400000,31330
GAZP,5,240115,125500,163.8200000,163.8400000,163.7900000,163.8400000,51490
GAZP,5,240115,130000,163.8300000,163.8400000,163.7900000,163.8300000,33350
GAZP,5,240115,130500,163.8300000,163.8400000,163.6500000,163.7100000,132050
GAZP,5,240115,131000,163.7200000,163.7800000,163.6500000,163.6700000,69420
GAZP,5,240115,131500,163.6800000,163.7800000,163.6600000,163.7000000,56040
GAZP,5,240115,132000,163.7300000,163.8000000,163.6500000,163.7700000,68810
GAZP,5,240115,132500,163.7700000,163.8300000,163.7000000,163.8100000,38600
GAZP,5,240115,133000,163.8100000,163.8200000,163.6900000,163.7600000,36370
GAZP,5,240115,133500,163.7300000,163.7600000,163.6200000,163.6300000,150950
GAZP,5,240115,134000,163.6300000,163.6400000,163.6100000,163.6300000,57250
GAZP,5,240115,134500,163.6300000,163.7700000,163.6200000,163.7300000,47440
GAZP,5,240115,135000,163.7200000,163.7200000,163.6000000,163.6100000,118400
GAZP,5,240115,135500,163.6000000,163.7000000,163.6000000,163.6200000,161440
GAZP,5,240115,140000,163.6200000,163.6700000,163.5700000,163.5900000,82580
GAZP,5,240115,140500,163.5900000,163.6000000,163.4500000,163.4700000,286190
GAZP,5,240115,141000,163.4700000,163.5000000,163.4000000,163.4000000,164570
GAZP,5,240115,141500,163.4000000,163.4200000,163.3000000,163.4100000,146800
GAZP,5,240115,142000,163.4000000,163.5300000,163.3600000,163.5100000,81700
GAZP,5,240115,142500,163.5100000,163.6600000,163.5000000,163.6600000,45960
GAZP,5,240115,143000,163.6600000,163.7800000,163.6300000,163.7200000,74470
GAZP,5,240115,143500,163.7200000,163.7700000,163.6200000,163.7200000,55340
GAZP,5,240115,144000,163.7100000,163.8000000,163.6600000,163.7900000,62780
GAZP,5,240115,144500,163.7900000,163.8000000,163.7600000,163.7800000,34580
GAZP,5,240115,145000,163.7800000,163.7900000,163.7000000,163.7500000,28070
GAZP,5,240115,145500,163.7500000,163.8000000,163.7100000,163.7800000,26370
GAZP,5,240115,150000,163.7700000,163.8000000,163.6700000,163.7500000,52080
GAZP,5,240115,150500,163.7100000,163.7500000,163.6500000,163.7000000,39720
GAZP,5,240115,151000,163.7000000,163.7100000,163.6200000,163.6900000,43490
GAZP,5,240115,151500,163.7000000,163.7800000,163.6800000,163.7600000,30730
GAZP,5,240115,152000,163.7400000,163.7900000,163.6200000,163.7800000,32460
GAZP,5,240115,152500,163.7800000,163.8900000,163.7400000,163.8300000,84880
GAZP,5,240115,153000,163.8300000,163.9000000,163.7500000,163.8200000,68110
GAZP,5,240115,153500,163.8300000,163.9000000,163.7800000,163.8700000,125240
GAZP,5,240115,154000,163.8600000,163.8800000,163.7300000,163.7800000,55000
GAZP,5,240115,154500,163.7800000,163.7800000,163.6600000,163.7300000,57480
GAZP,5,240115,155000,163.7000000,163.7500000,163.4300000,163.5000000,96870
GAZP,5,240115,155500,163.5000000,163.6300000,163.4400000,163.6200000,80870
GAZP,5,240115,160000,163.6100000,163.7000000,163.5900000,163.6700000,30890
GAZP,5,240115,160500,163.6300000,163.6700000,163.5600000,163.6300000,28130
GAZP,5,240115,161000,163.6300000,163.6300000,163.5900000,163.6300000,27820
GAZP,5,240115,161500,163.6300000,163.7600000,163.6200000,163.7000000,36960
GAZP,5,240115,162000,163.7100000,163.7800000,163.6600000,163.7000000,62360
GAZP,5,240115,162500,163.7000000,163.7000000,163.6400000,163.6500000,45700
GAZP,5,240115,163000,163.6500000,163.6500000,163.6300000,163.6500000,19770
GAZP,5,240115,163500,163.6500000,163.6500000,163.6300000,163.6400000,30760
GAZP,5,240115,164000,163.6500000,163.7000000,163.6100000,163.6600000,38370
GAZP,5,240115,164500,163.6600000,163.7000000,163.6200000,163.6700000,33320
GAZP,5,240115,165000,163.6800000,163.7000000,163.6200000,163.7000000,46230
GAZP,5,240115,165500,163.7000000,163.7000000,163.6700000,163.6900000,23470
GAZP,5,240115,170000,163.6900000,163.7000000,163.6600000,163.7000000,22930
GAZP,5,240115,170500,163.7000000,163.7000000,163.6700000,163.6900000,30280
GAZP,5,240115,171000,163.6900000,163.6900000,163.6600000,163.6700000,36480
GAZP,5,240115,171500,163.6600000,163.6900000,163.6000000,163.6500000,65290
GAZP,5,240115,172000,163.6100000,163.6500000,163.5500000,163.6300000,39860
GAZP,5,240115,172500,163.6300000,163.6400000,163.5500000,163.6000000,26790
GAZP,5,240115,173000,163.6000000,163.6500000,163.5500000,163.6500000,31170
GAZP,5,240115,173500,163.6500000,163.6500000,163.4600000,163.5500000,93570
GAZP,5,240115,174000,163.5300000,163.6500000,163.4800000,163.5800000,87650
GAZP,5,240115,174500,163.5700000,163.6000000,163.4800000,163.5500000,42560
GAZP,5,240115,175000,163.5200000,163.5700000,163.4100000,163.4300000,166070
GAZP,5,240115,175500,163.4100000,163.4900000,163.3000000,163.4700000,189940
GAZP,5,240115,180000,163.4200000,163.4700000,163.3300000,163.4200000,31480
GAZP,5,240115,180500,163.4100000,163.4200000,163.3900000,163.4200000,30340
GAZP,5,240115,181000,163.4100000,163.4800000,163.3600000,163.4000000,38000
GAZP,5,240115,181500,163.4000000,163.4000000,163.3700000,163.4000000,32580
GAZP,5,240115,182000,163.4000000,163.4000000,163.3000000,163.3100000,97780
GAZP,5,240115,182500,163.3000000,163.3500000,163.2600000,163.3300000,283100
GAZP,5,240115,183000,163.3200000,163.4200000,163.3200000,163.4000000,33810
GAZP,5,240115,183500,163.4000000,163.4400000,163.3700000,163.3700000,33520
GAZP,5,240115,184500,163.7500000,163.7500000,163.7500000,163.7500000,584080
GAZP,5,240115,190000,163.5600000,163.5600000,163.5600000,163.5600000,5330
GAZP,5,240115,190500,163.6600000,163.7200000,163.5500000,163.5500000,34810
GAZP,5,240115,191000,163.5600000,163.6100000,163.5600000,163.5800000,13790
GAZP,5,240115,191500,163.5800000,163.5900000,163.5700000,163.5900000,14660
GAZP,5,240115,192000,163.5900000,163.6500000,163.5600000,163.5900000,23260
GAZP,5,240115,192500,163.5900000,163.6200000,163.5600000,163.6100000,18880
GAZP,5,240115,193000,163.6200000,163.6200000,163.6000000,163.6200000,6630
GAZP,5,240115,193500,163.6200000,163.6400000,163.5600000,163.5600000,16230
GAZP,5,240115,194000,163.6000000,163.6100000,163.5500000,163.6000000,7380
GAZP,5,240115,194500,163.6000000,163.6100000,163.5800000,163.5900000,18670
GAZP,5,240115,195000,163.5900000,163.6100000,163.5900000,163.5900000,13140
GAZP,5,240115,195500,163.5900000,163.6000000,163.5400000,163.5400000,18020
GAZP,5,240115,200000,163.5500000,163.5500000,163.4400000,163.4900000,48740
GAZP,5,240115,200500,163.4900000,163.5000000,163.4500000,163.4800000,6310
GAZP,5,240115,201000,163.4800000,163.4800000,163.4300000,163.4300000,24140
GAZP,5,240115,201500,163.4300000,163.5000000,163.4300000,163.4700000,10440
GAZP,5,240115,202000,163.4400000,163.4800000,163.4300000,163.4400000,19320
GAZP,5,240115,202500,163.4400000,163.4800000,163.4300000,163.4500000,44860
GAZP,5,240115,203000,163.4300000,163.4800000,163.3300000,163.4100000,123910
GAZP,5,240115,203500,163.4000000,163.4100000,163.3300000,163.3500000,14460
GAZP,5,240115,204000,163.3500000,163.4400000,163.3500000,163.3700000,14130
GAZP,5,240115,204500,163.4300000,163.4700000,163.3600000,163.4200000,16650
GAZP,5,240115,205000,163.4000000,163.4400000,163.3500000,163.3700000,9880
GAZP,5,240115,205500,163.3600000,163.4200000,163.3400000,163.3400000,22140
GAZP,5,240115,210000,163.4100000,163.4300000,163.3500000,163.4200000,9190
GAZP,5,240115,210500,163.4100000,163.4300000,163.3800000,163.4000000,6220
GAZP,5,240115,211000,163.4200000,163.4300000,163.3400000,163.4100000,7620
GAZP,5,240115,211500,163.4300000,163.4400000,163.4000000,163.4400000,5620
GAZP,5,240115,212000,163.4500000,163.5200000,163.4500000,163.5100000,17230
GAZP,5,240115,212500,163.5100000,163.5200000,163.4800000,163.4900000,6100
GAZP,5,240115,213000,163.4900000,163.5200000,163.4800000,163.5100000,2890
GAZP,5,240115,213500,163.5200000,163.5300000,163.5100000,163.5100000,10360
GAZP,5,240115,214000,163.5100000,163.5900000,163.5100000,163.5900000,15530
GAZP,5,240115,214500,163.6000000,163.6000000,163.5800000,163.6000000,3190
GAZP,5,240115,215000,163.6000000,163.6000000,163.5500000,163.5900000,3410
GAZP,5,240115,215500,163.5900000,163.6000000,163.5900000,163.6000000,2460
GAZP,5,240115,220000,163.5900000,163.6000000,163.5300000,163.5700000,6710
GAZP,5,240115,220500,163.5600000,163.5800000,163.5000000,163.5400000,21320
GAZP,5,240115,221000,163.5400000,163.5800000,163.5400000,163.5700000,2170
GAZP,5,240115,221500,163.5700000,163.5900000,163.5100000,163.5500000,11540
GAZP,5,240115,222000,163.5300000,163.5800000,163.4600000,163.5000000,20540
GAZP,5,240115,222500,163.5000000,163.5700000,163.4900000,163.5400000,4510
GAZP,5,240115,223000,163.5400000,163.5800000,163.4800000,163.5600000,6590
GAZP,5,240115,223500,163.5500000,163.5500000,163.4800000,163.5300000,12190
GAZP,5,240115,224000,163.5200000,163.5500000,163.5000000,163.5000000,9200
GAZP,5,240115,224500,163.5400000,163.5800000,163.5100000,163.5800000,10010
GAZP,5,240115,225000,163.5800000,163.5900000,163.5200000,163.5700000,13570
GAZP,5,240115,225500,163.5600000,163.5800000,163.5300000,163.5700000,2440
GAZP,5,240115,230000,163.5700000,163.5700000,163.5100000,163.5100000,4440
GAZP,5,240115,230500,163.5100000,163.5300000,163.4700000,163.4800000,9750
GAZP,5,240115,231000,163.4800000,163.5000000,163.4500000,163.4600000,3080
GAZP,5,240115,231500,163.4600000,163.5100000,163.4600000,163.4700000,6020
GAZP,5,240115,232000,163.4800000,163.6000000,163.4700000,163.5900000,25440
GAZP,5,240115,232500,163.5900000,163.5900000,163.4600000,163.4600000,8940
GAZP,5,240115,233000,163.4500000,163.4500000,163.4400000,163.4500000,9260
GAZP,5,240115,233500,163.4400000,163.4500000,163.3800000,163.3800000,18890
GAZP,5,240115,234000,163.3800000,163.3900000,163.3500000,163.3600000,51470
GAZP,5,240115,234500,163.3500000,163.3500000,163.3000000,163.3400000,122160
GAZP,5,240116,100000,163.2800000,163.5000000,163.2000000,163.2200000,222750
GAZP,5,240116,100500,163.2400000,163.2900000,163.2000000,163.2500000,101780
GAZP,5,240116,101000,163.2500000,163.2500000,162.6200000,162.8100000,691090
GAZP,5,240116,101500,162.8300000,162.8600000,162.6500000,162.7700000,182250
GAZP,5,240116,102000,162.7800000,162.8500000,162.7300000,162.8500000,241480
GAZP,5,240116,102500,162.8500000,162.8600000,162.7200000,162.7800000,98980
GAZP,5,240116,103000,162.7800000,162.7800000,162.6300000,162.7200000,147930
GAZP,5,240116,103500,162.7200000,162.7300000,162.6300000,162.6300000,53820
GAZP,5,240116,104000,162.6300000,162.6400000,162.4000000,162.4700000,565900
GAZP,5,240116,104500,162.4700000,162.6900000,162.3700000,162.6300000,325270
GAZP,5,240116,105000,162.6200000,162.7000000,162.6100000,162.6900000,132590
GAZP,5,240116,105500,162.6800000,162.8400000,162.6000000,162.8300000,157880
GAZP,5,240116,110000,162.8200000,162.8200000,162.6000000,162.6500000,89490
GAZP,5,240116,110500,162.6900000,162.7700000,162.6400000,162.7600000,82150
GAZP,5,240116,111000,162.7500000,162.8100000,162.6100000,162.6600000,112310
GAZP,5,240116,111500,162.6600000,162.6800000,162.6200000,162.6400000,29730
GAZP,5,240116,112000,162.6200000,162.8000000,162.6200000,162.7900000,80890
GAZP,5,240116,112500,162.7900000,162.8300000,162.7700000,162.8300000,35500
GAZP,5,240116,113000,162.8200000,162.8400000,162.7900000,162.8100000,40390
GAZP,5,240116,113500,162.8200000,162.8600000,162.8100000,162.8300000,40670
GAZP,5,240116,114000,162.8300000,162.8900000,162.8200000,162.8900000,78250
